CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
16,Male,1,No,No,29,No,No,No,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),82.77,2446.25,No
17,Female,0,Yes,No,16,Yes,Yes,No,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,39.52,5155.6,No
18,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),47.84,4172.44,Yes
19,Female,0,No,No,5,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,107.37,8021.51,Yes
20,Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.34,5469.02,Yes
21,Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,33.52,2896.72,Yes
22,Male,0,Yes,No,5,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),46.81,5553.7,Yes
23,Female,0,Yes,No,13,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.68,2782.44,Yes
24,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,73.84,806.28,No
25,Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,No,Electronic check,79.11,4223.59,No
26,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),97.71,7473.28,No
27,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,One year,No,Electronic check,25.63,7897.76,No
28,Female,1,Yes,Yes,34,Yes,Yes,DSL,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),39.18,4730.87,Yes
29,Female,0,No,No,71,Yes,Yes,DSL,Yes,No,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),69.02,6080.87,No
30,Female,1,Yes,Yes,47,Yes,No,DSL,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),43.46,5311.05,Yes
31,Male,0,Yes,Yes,60,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,106.04,7045.41,No
32,Male,0,Yes,No,11,Yes,No phone service,DSL,No,Yes,No internet service,No,No,No,One year,No,Electronic check,82.59,913.34,Yes
33,Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.52,3497.09,No
34,Female,0,Yes,No,4,Yes,No,No,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Mailed check,18.29,2212.0,No
35,Female,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Mailed check,104.54,75.79,No
36,Male,0,No,No,59,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,No,Bank transfer (automatic),64.57,7210.89,No
37,Female,0,No,No,60,No,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,71.66,1181.65,Yes
38,Male,0,Yes,No,62,Yes,No phone service,No,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),88.43,2821.17,No
39,Male,0,Yes,Yes,25,Yes,No,No,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),112.46,7531.15,No
40,Male,0,Yes,Yes,33,No,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,34.15,6269.74,No
41,Male,0,Yes,Yes,19,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Two year,Yes,Electronic check,25.4,4938.6,No
42,Male,0,Yes,No,57,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,30.5,2707.58,Yes
43,Female,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,92.69,4484.58,No
44,Female,0,No,Yes,41,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,31.24,506.16,Yes
45,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,68.6,6321.56,No
46,Female,0,Yes,Yes,60,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,89.25,2075.38,No
47,Female,0,No,No,22,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,89.88,4171.55,Yes
48,Male,0,Yes,No,43,No,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),59.09,837.47,No
49,Female,0,No,No,32,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),88.46,6178.49,No
50,Female,0,No,No,13,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,113.73,7782.07,Yes
51,Male,0,No,No,38,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),21.06,3969.94,No
52,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),85.72,740.03,No
53,Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,70.77,8208.82,No
54,Female,1,Yes,No,49,Yes,Yes,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.62,3892.93,No
55,Male,0,No,No,5,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,49.18,715.02,Yes
56,Female,1,Yes,No,71,Yes,No,DSL,No,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,102.38,1651.71,No
57,Female,0,Yes,No,48,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Mailed check,77.23,1057.37,No
58,Male,0,Yes,No,18,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No,Two year,Yes,Electronic check,19.71,1730.55,No
59,Male,0,Yes,No,6,No,No,No,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,115.27,1368.84,No
60,Male,0,No,No,66,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No,One year,No,Electronic check,85.2,8016.46,No
61,Male,0,No,No,42,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,62.74,1830.64,Yes
62,Male,0,No,Yes,52,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,89.84,3848.88,Yes
63,Male,0,Yes,No,11,No,No,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,38.81,6343.93,Yes
64,Male,0,No,No,26,No,Yes,No,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.43,5885.45,No
65,Male,0,Yes,No,21,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),33.54,8307.54,Yes
66,Female,0,No,No,66,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,58.16,8390.41,Yes
67,Female,0,No,No,40,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),109.17,4964.44,Yes
68,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,57.3,6538.27,Yes
69,Female,0,No,No,51,Yes,No phone service,DSL,No internet service,Yes,No,No,No,No internet service,Two year,No,Electronic check,47.2,3364.27,No
70,Female,1,Yes,Yes,20,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,88.96,3738.68,Yes
71,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),105.65,923.28,No
72,Female,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.8,5854.65,Yes
73,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.45,2363.89,Yes
74,Female,0,No,Yes,24,Yes,No,No,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,48.88,710.88,Yes
75,Male,0,Yes,No,68,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,Two year,No,Mailed check,43.11,870.07,No
76,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),65.78,6278.92,No
77,Female,1,Yes,Yes,48,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,One year,Yes,Bank transfer (automatic),24.96,2002.68,No
78,Female,0,No,No,47,Yes,No,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,104.9,6691.49,Yes
79,Male,0,No,No,60,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Credit card (automatic),106.12,7869.5,No
80,Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),86.33,2972.6,Yes
81,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.69,6898.53,Yes
82,Female,1,Yes,No,24,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,35.0,3734.34,Yes
83,Male,0,Yes,No,4,No,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,88.48,6710.83,Yes
84,Female,0,Yes,No,9,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),28.61,2676.86,Yes
85,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Electronic check,59.57,8091.07,No
86,Male,0,No,Yes,35,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,Month-to-month,No,Electronic check,27.18,8573.93,No
87,Female,0,Yes,Yes,12,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.11,3365.2,Yes
88,Male,0,No,No,18,Yes,No,No,No internet service,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),31.77,1742.7,Yes
89,Female,0,Yes,No,10,Yes,No,DSL,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,21.48,5957.88,Yes
90,Female,0,Yes,No,18,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),63.45,5076.23,Yes
91,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.3,8610.86,Yes
92,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.4,7052.08,Yes
93,Female,0,No,No,72,Yes,No,DSL,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.95,7255.82,No
94,Female,0,No,No,16,Yes,Yes,DSL,No internet service,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),26.03,6314.48,No
95,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No internet service,One year,No,Mailed check,30.95,3058.74,No
96,Female,0,No,Yes,62,Yes,No,No,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,91.32,8128.81,No
97,Female,0,Yes,No,5,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,19.85,4054.3,No
98,Female,0,Yes,No,45,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,105.01,3480.38,No
99,Female,0,No,No,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,102.68,1702.04,Yes
100,Male,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,106.74,2652.89,No
101,Male,0,No,Yes,7,Yes,No,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.56,38.34,No
102,Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,Two year,Yes,Mailed check,85.34,5737.53,No
103,Female,0,Yes,No,13,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,103.42,5265.77,Yes
104,Female,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),91.65,3511.49,No
105,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.41,8399.75,No
106,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,94.14,6025.26,Yes
107,Female,0,Yes,No,5,Yes,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,80.12,2122.18,No
108,Female,0,No,No,33,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Mailed check,21.01,3300.63,No
109,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,97.28,4488.72,No
110,Male,0,Yes,No,26,Yes,No phone service,No,No,Yes,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),105.77,4744.83,No
111,Female,0,Yes,Yes,68,Yes,No,No,Yes,Yes,No,No internet service,No internet service,No,Two year,Yes,Mailed check,70.26,2407.46,No
112,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.2,2180.45,Yes
113,Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),61.19,2613.6,No
114,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Two year,No,Electronic check,90.49,8367.22,No
115,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,39.9,3134.44,No
116,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,96.03,3261.12,Yes
117,Male,0,Yes,Yes,35,No,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,47.63,6260.44,Yes
118,Female,0,No,Yes,25,Yes,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),44.53,1429.27,No
119,Female,0,No,Yes,72,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,No,Two year,No,Mailed check,99.57,5592.45,No
120,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.77,5791.48,No
121,Female,0,No,No,18,Yes,No,No,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),104.93,577.89,Yes
122,Male,1,Yes,No,58,Yes,No,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,116.53,1664.87,Yes
123,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,50.4,4061.41,No
124,Male,1,No,Yes,63,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.5,7258.53,No
125,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,75.17,6365.29,Yes
126,Female,1,No,Yes,11,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),44.31,7588.13,No
127,Female,0,No,No,13,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,Yes,One year,No,Credit card (automatic),63.74,7393.62,No
128,Male,0,Yes,No,35,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,98.66,4451.48,No
129,Female,0,No,No,27,Yes,No,DSL,No internet service,No,Yes,No,No,No,Two year,Yes,Electronic check,85.25,5411.51,No
130,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),67.98,7998.44,No
131,Female,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Electronic check,44.11,6440.94,No
132,Male,0,No,Yes,67,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,One year,Yes,Credit card (automatic),91.19,3120.16,No
133,Male,0,Yes,Yes,22,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),49.74,3055.03,No
134,Male,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),51.51,3195.95,No
135,Male,0,No,No,20,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,93.31,4310.23,No
136,Male,0,Yes,Yes,48,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,74.37,3160.12,No
137,Male,1,Yes,No,18,Yes,No,No,No,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,36.93,1643.75,No
138,Male,0,No,No,70,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.3,5174.37,Yes
139,Male,1,Yes,No,6,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,44.18,7551.38,Yes
140,Male,0,Yes,No,39,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,94.68,4287.22,Yes
141,Female,0,Yes,No,11,No,No phone service,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),66.36,1917.94,No
142,Male,0,Yes,No,25,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),78.05,7064.69,No
143,Female,0,Yes,No,55,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),78.65,6568.08,No
144,Female,0,Yes,No,58,No,No phone service,No,Yes,No,No internet service,No,No,Yes,One year,No,Electronic check,33.0,6086.88,No
145,Female,0,Yes,No,37,No,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.62,5865.96,No
146,Male,0,No,No,16,Yes,No,DSL,No internet service,No,Yes,No,No,Yes,One year,Yes,Electronic check,105.4,6797.99,No
147,Male,1,Yes,Yes,70,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),107.82,7213.86,Yes
148,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,87.45,7802.63,No
149,Male,0,Yes,No,53,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),115.63,5304.46,No
150,Female,0,Yes,No,16,Yes,No,No,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),78.38,3429.68,Yes
151,Male,0,Yes,No,18,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,Two year,No,Electronic check,43.86,797.84,No
152,Male,0,Yes,Yes,19,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,84.6,6279.26,Yes
153,Male,0,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,109.62,1242.5,Yes
154,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,54.31,7545.39,Yes
155,Male,0,No,Yes,58,Yes,No,No,No,No internet service,No,No,No internet service,No,One year,No,Mailed check,44.87,3536.11,No
156,Female,0,No,Yes,10,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,115.38,7611.4,No
157,Male,0,No,No,46,No,No,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),95.29,4511.9,No
158,Female,1,No,Yes,19,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,23.25,3948.68,Yes
159,Male,0,Yes,No,38,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,74.65,3169.5,No
160,Female,0,No,No,37,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.81,550.43,No
161,Male,0,Yes,Yes,45,Yes,No,Fiber optic,No,No internet service,No,No,No,No,One year,Yes,Electronic check,47.08,118.7,No
162,Male,1,No,No,34,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,Two year,No,Mailed check,27.05,4427.1,No
163,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,41.47,7827.8,Yes
164,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,69.03,5098.03,Yes
165,Female,0,Yes,No,27,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),26.15,7492.17,No
166,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),107.66,8682.67,No
167,Female,0,No,No,7,Yes,No,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Electronic check,96.18,1566.69,No
168,Male,0,No,No,27,Yes,No,No,No,No internet service,Yes,Yes,Yes,No,Two year,No,Mailed check,56.58,5734.69,No
169,Male,0,No,No,71,No,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,No,Electronic check,31.34,3631.72,Yes
170,Female,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,118.14,1828.31,Yes
171,Female,0,No,Yes,33,Yes,Yes,No,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),74.86,2106.47,No
172,Male,0,Yes,Yes,33,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,60.76,2138.97,No
173,Male,0,No,No,25,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,38.21,6341.96,No
174,Female,0,Yes,Yes,14,No,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,38.67,3095.25,Yes
175,Female,1,Yes,No,38,Yes,No,DSL,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.27,2234.99,Yes
176,Female,0,Yes,No,38,Yes,No phone service,No,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,70.5,7696.53,No
177,Male,0,No,Yes,4,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),117.14,316.43,Yes
178,Male,0,No,No,62,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,114.04,6393.66,Yes
179,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,39.04,8342.98,Yes
180,Male,0,Yes,Yes,35,Yes,No,DSL,No,No,No internet service,Yes,No,No,Two year,No,Credit card (automatic),118.69,5440.62,No
181,Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),117.4,4769.18,Yes
182,Male,0,Yes,No,65,No,Yes,No,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,98.58,551.3,No
183,Female,0,No,No,25,Yes,No,No,No,No internet service,Yes,No,No internet service,No,One year,Yes,Mailed check,57.54,4377.44,No
184,Male,0,Yes,Yes,53,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,40.78,3150.73,No
185,Male,0,Yes,No,17,Yes,No,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),28.62,6761.82,No
